Target_Gene,shRNA_ID,Sample_ID,Read_Counts,Sample_Description,Day_Tx,Tx,Dox,Replicate
NT,NT_01,D1,1399,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_02,D1,1785,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_03,D1,569,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_04,D1,955,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_05,D1,1150,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_06,D1,868,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_07,D1,1198,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_08,D1,381,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_09,D1,1827,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_10,D1,310,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_11,D1,600,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_12,D1,934,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_13,D1,1793,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_14,D1,882,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_15,D1,1812,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_16,D1,906,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_17,D1,1547,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_18,D1,952,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_19,D1,1702,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_20,D1,713,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_21,D1,1643,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_22,D1,598,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_23,D1,2029,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_24,D1,1117,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_25,D1,935,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_26,D1,971,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_27,D1,313,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_28,D1,1051,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_29,D1,559,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_30,D1,1260,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_31,D1,1921,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_32,D1,1277,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_33,D1,875,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_34,D1,347,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_35,D1,1499,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_36,D1,935,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_37,D1,1326,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_38,D1,1388,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_39,D1,1624,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_40,D1,218,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_41,D1,1052,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_42,D1,620,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_43,D1,988,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_44,D1,1258,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_45,D1,1155,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_46,D1,1192,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_47,D1,444,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_48,D1,696,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_49,D1,320,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_50,D1,1067,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_51,D1,493,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_52,D1,239,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_53,D1,922,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_54,D1,655,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_55,D1,322,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_56,D1,1255,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_57,D1,642,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_58,D1,1999,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_59,D1,997,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_60,D1,728,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_61,D1,511,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_62,D1,1597,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_63,D1,1109,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_64,D1,1255,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_65,D1,999,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_66,D1,1084,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_67,D1,734,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_68,D1,492,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_69,D1,1912,T13_Dox_0.6nM,9,Low,Y,2
NT,NT_70,D1,1516,T13_Dox_0.6nM,9,Low,Y,2
