Target_Gene,shRNA_ID,Sample_ID,Sample_Description,Day_Tx,Tx,Dox,Replicate,Read_Counts
NT,NT_01,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.169146240942463
NT,NT_02,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.0873928772113655
NT,NT_03,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.008954078004349
NT,NT_04,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.0322017082863841
NT,NT_05,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.0305280117404714
NT,NT_06,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.1139237718213615
NT,NT_07,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.1418174460436514
NT,NT_08,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.0321600584409873
NT,NT_09,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,0.9517610410874627
NT,NT_10,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,0.8316408087768341
NT,NT_11,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.0502329421055105
NT,NT_12,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.1095342039837908
NT,NT_13,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.106836740288801
NT,NT_14,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.023893103572813
NT,NT_15,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.1056239985441956
NT,NT_16,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.0814302624995098
NT,NT_17,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.010988400347907
NT,NT_19,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.0226650096563115
NT,NT_20,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,0.9460357762588829
NT,NT_21,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,0.960683601246632
NT,NT_22,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,0.9085200023450302
NT,NT_23,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,0.9405630054809785
NT,NT_24,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.0193483160506787
NT,NT_26,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,0.9395183060862139
NT,NT_29,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.052371731710946
NT,NT_30,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,0.9356448183637247
NT,NT_31,D1,T13_Dox_0.6nM,9.0,Low,Y,2.0,1.0131365257881488
