shRNA_ID,Target_Gene,RTN_A,RTN_B,Predictive_Effect,Timepoint,Dosage,Gene_Category,Sort_Order
NT_01,NT,0.005643427077562426,0.005482879635472442,0.0416377297335252,T7,0.6nM,Neutral Control,1
NT_02,NT,0.005595870427969249,0.005848288911701598,-0.06365202634683285,T7,0.6nM,Neutral Control,1
NT_03,NT,0.005607049045322129,0.005701526566445858,-0.024106558988137655,T7,0.6nM,Neutral Control,1
NT_04,NT,0.005454421762930556,0.005166558661750271,0.0782226099015705,T7,0.6nM,Neutral Control,1
NT_05,NT,0.005207838533285761,0.005547828335186905,-0.09123842838598088,T7,0.6nM,Neutral Control,1
NT_06,NT,0.005520108968884538,0.0054096024442101855,0.029174173395795366,T7,0.6nM,Neutral Control,1
NT_07,NT,0.005682411513626245,0.005601481002435569,0.020694994938085846,T7,0.6nM,Neutral Control,1
NT_08,NT,0.0052447677992164985,0.00575583521321791,-0.13414638700248324,T7,0.6nM,Neutral Control,1
NT_09,NT,0.004734372403296246,0.004733780037414097,0.00018052166503134423,T7,0.6nM,Neutral Control,1
NT_10,NT,0.004703804868864197,0.0053352884975030185,-0.18173807155363583,T7,0.6nM,Neutral Control,1
NT_100,NT,0.004958384249253609,0.0054210061414009065,-0.12869056414308247,T7,0.6nM,Neutral Control,1
NT_101,NT,0.005511501587377457,0.005658146146288024,-0.03788401204729272,T7,0.6nM,Neutral Control,1
NT_102,NT,0.004791027470668474,0.005266507998417252,-0.13651160242819113,T7,0.6nM,Neutral Control,1
NT_103,NT,0.005625511204488027,0.00542793736300811,0.051580131123033966,T7,0.6nM,Neutral Control,1
NT_104,NT,0.005613551089567213,0.004892371239757903,0.19837981581624006,T7,0.6nM,Neutral Control,1
NT_105,NT,0.005332609183502718,0.00517353328762923,0.04369168743641733,T7,0.6nM,Neutral Control,1
NT_106,NT,0.0049091876750567585,0.005098373826061765,-0.054552838347567,T7,0.6nM,Neutral Control,1
NT_107,NT,0.005861019106670714,0.005584719521593923,0.06966671364795253,T7,0.6nM,Neutral Control,1
NT_108,NT,0.006107618905284209,0.006063245353022934,0.010519842484102714,T7,0.6nM,Neutral Control,1
NT_109,NT,0.0054534843921721,0.005469419770936238,-0.0042094863938773415,T7,0.6nM,Neutral Control,1
NT_11,NT,0.005976019038727686,0.005791625791345909,0.045216354362663705,T7,0.6nM,Neutral Control,1
NT_110,NT,0.004974134126903628,0.004826353202591338,0.04351191132184462,T7,0.6nM,Neutral Control,1
NT_111,NT,0.005237481185080091,0.005425799289318437,-0.0509625244202627,T7,0.6nM,Neutral Control,1
NT_112,NT,0.00592407896902563,0.0055715872089877475,0.08850249747183193,T7,0.6nM,Neutral Control,1
NT_113,NT,0.005467289816577753,0.005315820662437197,0.04053341980200443,T7,0.6nM,Neutral Control,1
