Target_Gene,Timepoint,Dosage,RTN_A_median,RTN_A_CI_lower,RTN_A_CI_upper,RTN_B_median,RTN_B_CI_lower,RTN_B_CI_upper,Predictive_Effect_median,Predictive_Effect_CI_lower,Predictive_Effect_CI_upper
Abcb1,T10,0.6nM,0.0055601532511405545,0.005219978659978872,0.005681410841191813,0.005670316842305952,0.005326121524340464,0.005951215319904128,-0.03891653710389467,-0.13124274253321727,0.015641600020984744
Abcb1,T10,3.5nM,0.005468666677836349,0.005259949666272665,0.005958444311122882,0.005670316842305952,0.005286785797166745,0.005943760122433981,-0.05033268206353718,-0.12680297132114585,0.03717656453563599
Abcb1,T13,0.6nM,0.0054406644448060405,0.005303727250352682,0.005877035577677481,0.005398299948735339,0.005229383766874863,0.006240883277251053,-0.01449446674902876,-0.13082956422493736,0.08014232455704044
Abcb1,T13,3.5nM,0.0051621409298278865,0.004821146363264637,0.005652294590834764,0.005398299948735339,0.005204701497438567,0.006240883277251053,-0.09952199842818318,-0.20763123018153684,-0.04832985152042071
Abcb1,T7,0.6nM,0.005493443426390639,0.005157170775783546,0.005805622508473978,0.0056224176148386325,0.005289065500431443,0.005869961860154082,-0.0436877909971827,-0.06924723107592212,-0.006349870895985685
Abcb1,T7,3.5nM,0.005437459070789211,0.005237987755371173,0.00585590742300493,0.0056224176148386325,0.005289065500431443,0.005948405679061199,-0.022206361733234706,-0.13233500284260913,0.07300513405621464
Akt1,T10,0.6nM,0.005159734602703667,0.004629223732907631,0.005323305393712922,0.0049426196835434385,0.004591595658823316,0.005328757207119096,0.05441437844061525,-0.048149172611616775,0.11095112692210611
Akt1,T10,3.5nM,0.0048887959161463684,0.004564875070063615,0.005295146143638658,0.0049426196835434385,0.004591595658823316,0.005265629064796949,-0.05347739520734089,-0.09504994419521376,0.03948397896862951
Akt1,T13,0.6nM,0.00499292218943964,0.004668796046093382,0.005337034390081659,0.0048264839471985135,0.004266551234524268,0.005182003512308377,0.047276316826406234,-0.036724922892737016,0.12126477010768981
Akt1,T13,3.5nM,0.00475134002411693,0.004391192136472038,0.005432076725455517,0.0048264839471985135,0.004266551234524268,0.005182003512308377,0.02886124020920293,-0.02868118690075367,0.08586369376854225
Akt1,T7,0.6nM,0.005106162266809048,0.0046582629756164165,0.005507222947866072,0.005173395221683384,0.004896781947107795,0.005451663113874023,-0.04538983062414764,-0.11252971748119503,0.022449602136335085
Akt1,T7,3.5nM,0.004998912293483788,0.004497183498930867,0.005328268410163367,0.005173395221683384,0.004920627482685347,0.00546262706755277,-0.09155020661826346,-0.12521120049798182,-0.023401996578831356
Akt2,T10,0.6nM,0.005362877657924233,0.005106471850320581,0.005531420116823331,0.005444754982589541,0.005102199614920785,0.005833718490014511,-0.05800001008609766,-0.1182431912321462,0.05408863811640817
Akt2,T10,3.5nM,0.005604145349716145,0.005295102900499326,0.0057711255665214185,0.005444754982589541,0.005124026921935419,0.005833718490014511,0.026091221297591956,-0.06148021354039029,0.14977301744655075
Akt2,T13,0.6nM,0.005432643267078057,0.00491540572011514,0.0057883340524567855,0.0055475417230359345,0.005220281048238774,0.0059418858341098255,-0.02685472676583754,-0.10381346363987982,0.04864224363571603
Akt2,T13,3.5nM,0.005483180597143503,0.0050756072263585155,0.005653689615375718,0.0055475417230359345,0.005243548302750929,0.00582947968019148,-0.03981590286407802,-0.12258508469417119,0.07945533686470643
Akt2,T7,0.6nM,0.005509660965342354,0.005210594625159243,0.005752466947664285,0.005552672116356126,0.005361485646059931,0.005657388562832061,0.014873120580878326,-0.06097216966411881,0.049019046639172566
Akt2,T7,3.5nM,0.005463430062176474,0.005240489160817713,0.005654100316722973,0.005552672116356126,0.005327370981675751,0.005697998866294499,-0.024764384422973764,-0.045461027454068284,0.0115732753243119
Apc,T10,0.6nM,0.005528684417260723,0.0049861480101546715,0.005852898396866811,0.005669423879399742,0.0052998466469691445,0.006018948556789842,-0.05535270580875559,-0.09018420818707194,-0.011723833348855052
Apc,T10,3.5nM,0.005625111978450934,0.005388786594012653,0.006058599087622016,0.005669423879399742,0.0051796449387153595,0.00599028225564596,0.004021628845871872,-0.03198453300306311,0.05904359944934522
Apc,T13,0.6nM,0.005801124431874742,0.004970658556801696,0.006296230797994645,0.005653577850557874,0.005452185735627946,0.006261059006873619,0.0068066991446190175,-0.14567018395495065,0.10925421750542719
Apc,T13,3.5nM,0.005523692413345183,0.005309551266894603,0.006166023686494484,0.005653577850557874,0.005481551396957113,0.006190740464047593,-0.035552098213296066,-0.12870026918585212,0.04293494889890632
Apc,T7,0.6nM,0.005712744606702827,0.00536885215487252,0.0060256248547262675,0.0056025638219820185,0.005321769875189479,0.00614391609914286,-0.019700226120212754,-0.07524550114885413,0.03973993407007381
Apc,T7,3.5nM,0.005782103483196869,0.005317840136515425,0.006051600159401504,0.0056025638219820185,0.005372362255801539,0.006262189836035553,-0.016728713797883106,-0.07378289153276951,0.05397162329488163
Araf,T10,0.6nM,0.005141425947362596,0.004879300029222548,0.0056117498158908185,0.005237262582058566,0.004946354753225196,0.0054607489814548875,-0.02266235491951839,-0.07762868962714708,0.09220884785681482
Araf,T10,3.5nM,0.005156775669556616,0.004806467003158604,0.005428119499985963,0.005237262582058566,0.0050020703600385736,0.0054607489814548875,-0.03407642246878473,-0.12257140506634684,0.0856888563451123
