shRNA_ID,Target_Gene,RTN_A,RTN_B,Prognostic_Effect,Gene_Category,Sort_Order
NT_01,NT,0.9693787462672844,1.0,-0.04486764327940558,Neutral Control,1
NT_02,NT,1.0948972126014287,1.0,0.1307954380176494,Neutral Control,1
NT_03,NT,1.118983674007575,1.0,0.16218898752062427,Neutral Control,1
NT_04,NT,1.0126681520627863,1.0,0.01816148528609875,Neutral Control,1
NT_05,NT,0.9835072627350957,1.0,-0.023992388724971628,Neutral Control,1
NT_06,NT,1.13975657039155,1.0,0.18872572597739495,Neutral Control,1
NT_07,NT,1.0760396274307915,1.0,0.10573120916327754,Neutral Control,1
NT_08,NT,0.9442228058155069,1.0,-0.08280076610814106,Neutral Control,1
NT_09,NT,0.976822460902714,1.0,-0.033831721076780466,Neutral Control,1
NT_10,NT,0.9396795700111924,1.0,-0.08975921210333626,Neutral Control,1
NT_100,NT,1.0300204402910729,1.0,0.04267296732496379,Neutral Control,1
NT_101,NT,1.1429065078617135,1.0,0.192707392912954,Neutral Control,1
NT_102,NT,0.9290281699638164,1.0,-0.10620575226119816,Neutral Control,1
NT_103,NT,0.938709379468233,1.0,-0.09124952028461003,Neutral Control,1
NT_104,NT,1.0584057599091152,1.0,0.08189281798556265,Neutral Control,1
NT_105,NT,0.8156811254315076,1.0,-0.2939228258627578,Neutral Control,1
NT_106,NT,0.9668816405163545,1.0,-0.04858879990204057,Neutral Control,1
NT_107,NT,0.9985655559936106,1.0,-0.002070950941392626,Neutral Control,1
NT_108,NT,1.2073390434840843,1.0,0.27183086885794355,Neutral Control,1
NT_109,NT,0.9874762817702014,1.0,-0.018181998440334947,Neutral Control,1
NT_11,NT,1.0237550222570178,1.0,0.033870529343716066,Neutral Control,1
NT_110,NT,0.9192675571197758,1.0,-0.12144326911802794,Neutral Control,1
NT_111,NT,0.9752542960791957,1.0,-0.03614964642757913,Neutral Control,1
NT_112,NT,1.1227841356807602,1.0,0.1670805846235786,Neutral Control,1
NT_113,NT,0.9902980638547717,1.0,-0.01406527623571774,Neutral Control,1
NT_114,NT,1.1153475657096443,1.0,0.15749335426155114,Neutral Control,1
NT_115,NT,1.1433699385264864,1.0,0.19329226455616827,Neutral Control,1
NT_116,NT,1.0190417215902094,1.0,0.027213119510690463,Neutral Control,1
NT_117,NT,0.987101904205951,1.0,-0.01872906481194998,Neutral Control,1
NT_118,NT,1.127911840251667,1.0,0.17365430833758339,Neutral Control,1
NT_119,NT,1.121206976580457,1.0,0.16505262651364863,Neutral Control,1
NT_12,NT,0.8594036371317013,1.0,-0.21859221204969645,Neutral Control,1
NT_121,NT,0.8647290147539499,1.0,-0.20967999719146135,Neutral Control,1
NT_122,NT,0.856566261775665,1.0,-0.22336324106198308,Neutral Control,1
NT_123,NT,0.9190449301967863,1.0,-0.12179270128644484,Neutral Control,1
NT_124,NT,1.0154737035971508,1.0,0.022152880519155992,Neutral Control,1
NT_125,NT,0.8781688745664343,1.0,-0.18742969376887603,Neutral Control,1
NT_126,NT,0.7785856894880566,1.0,-0.3610722668915413,Neutral Control,1
NT_127,NT,0.8507319597483362,1.0,-0.23322344153582564,Neutral Control,1
NT_128,NT,1.0059422656863632,1.0,0.008547506536923056,Neutral Control,1
NT_129,NT,0.8941415864758475,1.0,-0.16142479599215195,Neutral Control,1
NT_13,NT,1.1489782928829313,1.0,0.2003515420693425,Neutral Control,1
NT_130,NT,0.9745738546229561,1.0,-0.037156575734686545,Neutral Control,1
NT_133,NT,1.0957166495331396,1.0,0.13187476803858597,Neutral Control,1
NT_134,NT,0.9086714070178427,1.0,-0.13816941231615354,Neutral Control,1
NT_135,NT,1.0844298840562436,1.0,0.11693677574463456,Neutral Control,1
NT_136,NT,0.9526941590415344,1.0,-0.06991495110976133,Neutral Control,1
NT_137,NT,0.9686291495045067,1.0,-0.04598367545720475,Neutral Control,1
NT_138,NT,0.9877134400474707,1.0,-0.017835553672637835,Neutral Control,1
NT_139,NT,0.845562489582636,1.0,-0.24201671685814571,Neutral Control,1
NT_14,NT,0.9477501927423355,1.0,-0.07742125009299042,Neutral Control,1
NT_140,NT,0.8432036538969307,1.0,-0.24604697619548863,Neutral Control,1
NT_141,NT,0.9700033480009576,1.0,-0.04393836806590357,Neutral Control,1
NT_142,NT,0.9965224219147012,1.0,-0.005025828587478123,Neutral Control,1
NT_143,NT,1.1039398822273314,1.0,0.14266160873379263,Neutral Control,1
NT_144,NT,1.1080131686985317,1.0,0.14797502787010533,Neutral Control,1
NT_146,NT,0.9429777560643715,1.0,-0.08470435536993694,Neutral Control,1
NT_147,NT,0.9920140280074466,1.0,-0.011567573071902306,Neutral Control,1
NT_148,NT,1.065937380803472,1.0,0.09212268851191353,Neutral Control,1
NT_149,NT,0.8255869443177837,1.0,-0.2765079384635471,Neutral Control,1
NT_15,NT,1.1271480979352917,1.0,0.1726770861575235,Neutral Control,1
NT_150,NT,1.0217980674474267,1.0,0.03111011224714658,Neutral Control,1
NT_153,NT,1.1018523847597181,1.0,0.13993095890012036,Neutral Control,1
NT_154,NT,1.0942369011653894,1.0,0.12992511394100573,Neutral Control,1
NT_155,NT,1.0581316817985247,1.0,0.0815191783556808,Neutral Control,1
NT_156,NT,1.0510823484529142,1.0,0.07187570360133302,Neutral Control,1
NT_157,NT,1.170465583195728,1.0,0.22708251353335485,Neutral Control,1
NT_158,NT,0.9406274610027131,1.0,-0.08830464353973719,Neutral Control,1
NT_159,NT,1.045732894106324,1.0,0.06451439885231,Neutral Control,1
NT_16,NT,0.9502559449164287,1.0,-0.0736119490967573,Neutral Control,1
NT_160,NT,0.9052511274875316,1.0,-0.143610026312496,Neutral Control,1
NT_161,NT,1.049134596318203,1.0,0.06919977704218658,Neutral Control,1
NT_162,NT,1.0329236334810943,1.0,0.04673359624487576,Neutral Control,1
NT_163,NT,0.8724223924123231,1.0,-0.19690129486787136,Neutral Control,1
NT_164,NT,1.0288579109838023,1.0,0.041043754560947686,Neutral Control,1
