Target_Gene,RTN_A_median,RTN_A_CI_lower,RTN_A_CI_upper,RTN_B_median,RTN_B_CI_lower,RTN_B_CI_upper,Prognostic_Effect_median,Prognostic_Effect_CI_lower,Prognostic_Effect_CI_upper,p_value,adjusted_p_value,p_value_CI_lower,p_value_CI_upper,adjusted_p_value_CI_lower,adjusted_p_value_CI_upper
Abcb1,0.0053982999487353,0.0052293837668748,0.006240883277251,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0175799246425134,-0.0326425649368066,0.1911480028864762,0.7808672191327809,0.9132949931377554,0.5538794461205538,0.000795999204000796,0.5799784776131454,0.007580944800007581
Akt1,0.0048264839471985,0.0042271419142499,0.0051820035123083,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1799089040489906,-0.3570140737753526,-0.0765744530159306,0.002443997556002444,0.021252152660890818,9.99999000001e-07,0.18847881152118848,6.24999375000625e-06,0.3015660984339016
Akt2,0.0055475417230359,0.0052202810482387,0.0058294796801914,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.02174498339861,-0.066057219586583,0.1032504318126277,0.5663234336765663,0.7822581218514671,0.24744375255624745,0.06015793984206016,0.2776231860639648,0.16732685970016734
Apc,0.0056535778505578,0.0054519705866598,0.0062117440522084,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0489789754619056,-0.0033023830745985,0.180114076609525,0.2971157028842971,0.5824746468831513,0.9690840309159691,0.001461998538001462,0.9690840309159691,0.01044284670001044
Araf,0.0053510381090533,0.0050675003072219,0.0056705063447571,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.0302656620458062,-0.1088101752211311,0.0629570383453996,0.585909414090586,0.7905482027403878,0.0712079287920712,0.2044987955012045,0.0930822598589166,0.31952936797063203
Arid1a,0.0048969928577378,0.0040470718213819,0.0054707529224981,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1597788107489577,-0.3689188751827858,0.0004382791196595,0.007223992776007224,0.04982063983453258,9.99999000001e-07,0.9015440984559016,6.24999375000625e-06,0.9199429576080628
Arid1b,0.0050664488129275,0.0047547047795419,0.0055262649232191,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1091171760906644,-0.20072867970084,0.027530264680219,0.07004792995207004,0.28590991817171446,0.000798999201000799,0.493970506029494,0.00187999812000188,0.5684798912902237
Ascl1,0.0055997334176569,0.0050733479173338,0.0057613646520298,0.0054644808743169,0.0054644808743169,0.0054644808743169,0.0352117007926853,-0.112932738033269,0.0763261263195364,0.4138205861794138,0.6568580733006568,0.06083293916706083,0.14318885681114318,0.08057342936034548,0.24476727660024478
Atm,0.004982319649479,0.0046972130958982,0.0056781435679141,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.1332723347123313,-0.2182794013405774,0.0554106973576098,0.027750972249027752,0.14605774867909344,0.000223999776000224,0.2513987486012514,0.0006054048000006054,0.36970404206066376
Atr,0.0049279781711917,0.0045382484217754,0.0053648558639055,0.0054644808743169,0.0054644808743169,0.0054644808743169,-0.149282858973469,-0.2696682469414971,-0.0431018060512461,0.01283998716001284,0.08246241753758246,2.999997000003e-06,0.4331765668234332,1.3953474418618604e-05,0.533932799400534
