shRNA_ID,Median_CV,Lower_CI,Upper_CI,Error_Lower,Error_Upper
NT_01,0.01723086525155798,0.007015008235361653,0.041264755424576076,0.010215857016196327,0.024033890173018095
NT_02,0.030146856524317776,0.016014909143765323,0.0420108570145021,0.014131947380552453,0.011864000490184323
NT_03,0.07159908317655639,0.0366333480863132,0.09293034219568547,0.034965735090243186,0.02133125901912908
NT_04,0.03718842646966386,0.02997734870587535,0.06254125942368384,0.007211077763788511,0.02535283295401998
NT_05,0.039316043425255694,0.01794900637815307,0.04948874997071659,0.021367037047102622,0.010172706545460895
NT_06,0.04636297156400534,0.028358163254686364,0.08545874147696834,0.018004808309318974,0.039095769912963006
NT_07,0.03341007134781815,0.01916523859160681,0.06408422658998439,0.014244832756211339,0.03067415524216624
NT_08,0.022008564237765694,0.010253269802043666,0.09402751648366739,0.011755294435722027,0.0720189522459017
NT_09,0.018266752434959805,0.014712319392321297,0.03413110986242933,0.0035544330426385082,0.015864357427469524
NT_10,0.024587138219841976,0.013133325157050901,0.03720385903542508,0.011453813062791075,0.012616720815583102
NT_100,0.020822725843016133,0.010059187052058756,0.034878685683453654,0.010763538790957377,0.014055959840437521
NT_101,0.04964547757957035,0.03507794444575439,0.07177800889927251,0.014567533133815959,0.022132531319702158
NT_102,0.05721000467309996,0.01351175899545933,0.07823454211430944,0.04369824567764063,0.02102453744120948
NT_103,0.04309964214900713,0.017365867985381703,0.06238140955458697,0.025733774163625423,0.019281767405579846
NT_104,0.0340374805747524,0.012510588185160513,0.09135306554927698,0.021526892389591885,0.05731558497452458
NT_105,0.05935219542784698,0.02247832878954591,0.0772857029074814,0.03687386663830107,0.017933507479634417
NT_106,0.03398380462037813,0.023380671558690575,0.06706915102106771,0.010603133061687555,0.03308534640068958
NT_107,0.018851650414369113,0.007457908158934854,0.0378360999738129,0.011393742255434259,0.01898444955944379
NT_108,0.0273797547764271,0.01623631723469914,0.03909407666638987,0.01114343754172796,0.011714321889962773
NT_109,0.060393013678664315,0.0320153136687239,0.08093706105296422,0.028377700009940415,0.020544047374299906
NT_11,0.06405684814061373,0.032777915599820066,0.09095016334646902,0.03127893254079366,0.026893315205855292
NT_110,0.04490937034000621,0.013112597074632148,0.05872024840174739,0.031796773265374056,0.01381087806174118
NT_111,0.01567372156213521,0.007217360105385287,0.027221164842582645,0.008456361456749925,0.011547443280447434
NT_112,0.01835551228654859,0.0044221612637681176,0.04607839212244193,0.013933351022780474,0.027722879835893336
NT_113,0.01807337707195704,0.010688926479174963,0.033572068535335176,0.007384450592782076,0.015498691463378136
NT_114,0.047048095545482706,0.018636284466865053,0.06949609448711659,0.028411811078617653,0.022447998941633886
NT_115,0.043083580074875526,0.00829987620432063,0.05899752704194943,0.0347837038705549,0.015913946967073905
NT_116,0.040556265181470146,0.013478910280181925,0.09211707397136015,0.027077354901288223,0.05156080878989001
NT_117,0.05649421946692537,0.02330494282595382,0.08409826480794108,0.03318927664097155,0.02760404534101571
NT_118,0.030771403760368927,0.016309807101259097,0.04614680600164487,0.01446159665910983,0.015375402241275943
NT_119,0.03433093489640011,0.024919317946717607,0.056539576793107685,0.0094116169496825,0.022208641896707577
NT_12,0.04571571163096474,0.016058535226202382,0.07418955146963542,0.029657176404762356,0.028473839838670682
NT_121,0.04207149826048159,0.007876513161251911,0.05443269281700259,0.034194985099229684,0.012361194556520995
NT_122,0.02700400409744556,0.01968329559727631,0.059411754978616144,0.0073207085001692485,0.03240775088117058
NT_123,0.02760016046678977,0.009850908702903161,0.03362610047981714,0.017749251763886607,0.006025940013027375
NT_124,0.019931600430802558,0.015198461604090769,0.044254031628492035,0.004733138826711789,0.024322431197689478
NT_125,0.033236944070358376,0.014600592563747891,0.06882525096363469,0.018636351506610485,0.035588306893276314
NT_126,0.05801708257865441,0.03500043349407692,0.07346904386665161,0.023016649084577484,0.015451961287997203
NT_127,0.03652882535687966,0.007543597192788567,0.05815178077350139,0.02898522816409109,0.02162295541662173
NT_128,0.03574814050157811,0.021488305833706308,0.052154691226750136,0.014259834667871802,0.016406550725172026
NT_129,0.05964047491757446,0.030930200001713783,0.06893666149408537,0.028710274915860676,0.009296186576510906
NT_13,0.020505614905230365,0.004250395927115573,0.0570279375444852,0.016255218978114792,0.03652232263925484
NT_130,0.032866603833698924,0.015501398887374907,0.05481483483547139,0.017365204946324014,0.02194823100177247
NT_133,0.056465906286485894,0.04014033989869869,0.06635336259582048,0.016325566387787205,0.009887456309334582
NT_134,0.013368655720927105,0.0067417429607848555,0.03316454289628038,0.006626912760142249,0.01979588717535328
