Sample_Description,Target_Gene,shRNA_ID,Day_Tx,Tx,Dox,Read_Counts,RTN
T10_Dox_0.6nM,Abcb1,Abcb1_01,6,Low,Y,1952,0.0028241190180977997
T10_Dox_0.6nM,Abcb1,Abcb1_02,6,Low,Y,2035,0.0029442019476583104
T10_Dox_0.6nM,Abcb1,Abcb1_03,6,Low,Y,1532,0.002216470458875937
T10_Dox_0.6nM,Abcb1,Abcb1_04,6,Low,Y,4146,0.005998359348890101
T10_Dox_0.6nM,Abcb1,Abcb1_05,6,Low,Y,4395,0.006358608137571634
T10_Dox_0.6nM,Abcb1,Abcb1_06,6,Low,Y,3500,0.005063737993515522
T10_Dox_0.6nM,Abcb1,Abcb1_07,6,Low,Y,1568,0.0022685546210949536
T10_Dox_0.6nM,Abcb1,Abcb1_08,6,Low,Y,2006,0.002902245261426325
T10_Dox_0.6nM,Abcb1,Abcb1_09,6,Low,Y,2252,0.003258153703256273
T10_Dox_0.6nM,Abcb1,Abcb1_10,6,Low,Y,1033,0.0014945260992290097
T10_Dox_0.6nM,Akt1,Akt1_01,6,Low,Y,1324,0.0019155397438327289
T10_Dox_0.6nM,Akt1,Akt1_02,6,Low,Y,3984,0.005763980618904525
T10_Dox_0.6nM,Akt1,Akt1_03,6,Low,Y,1388,0.0020081338099998697
T10_Dox_0.6nM,Akt1,Akt1_04,6,Low,Y,5955,0.008615588500395696
T10_Dox_0.6nM,Akt1,Akt1_05,6,Low,Y,5119,0.007406078511087416
T10_Dox_0.6nM,Akt1,Akt1_06,6,Low,Y,5015,0.007255613153565812
T10_Dox_0.6nM,Akt1,Akt1_07,6,Low,Y,6172,0.008929540255993657
T10_Dox_0.6nM,Akt1,Akt1_08,6,Low,Y,1757,0.002541996472744792
T10_Dox_0.6nM,Akt1,Akt1_09,6,Low,Y,1044,0.0015104407043514871
T10_Dox_0.6nM,Akt1,Akt1_10,6,Low,Y,1958,0.002832799711800969
T10_Dox_0.6nM,Akt2,Akt2_01,6,Low,Y,2220,0.0032118566701727024
T10_Dox_0.6nM,Akt2,Akt2_02,6,Low,Y,2963,0.004286815907081854
T10_Dox_0.6nM,Akt2,Akt2_03,6,Low,Y,1868,0.002702589306253427
T10_Dox_0.6nM,Akt2,Akt2_04,6,Low,Y,2413,0.003491085650957987
T10_Dox_0.6nM,Akt2,Akt2_05,6,Low,Y,1199,0.0017346919583500315
T10_Dox_0.6nM,Akt2,Akt2_06,6,Low,Y,1028,0.001487292187809702
T10_Dox_0.6nM,Akt2,Akt2_07,6,Low,Y,3653,0.005285095682946343
T10_Dox_0.6nM,Akt2,Akt2_08,6,Low,Y,3202,0.004632596872924772
T10_Dox_0.6nM,Akt2,Akt2_09,6,Low,Y,3132,0.004531322113054462
T10_Dox_0.6nM,Akt2,Akt2_10,6,Low,Y,1781,0.0025767192475574696
T10_Dox_0.6nM,Apc,Apc_01,6,Low,Y,3068,0.00443872804688732
T10_Dox_0.6nM,Apc,Apc_02,6,Low,Y,2574,0.003724017598659701
T10_Dox_0.6nM,Apc,Apc_03,6,Low,Y,1634,0.002364042251829818
T10_Dox_0.6nM,Apc,Apc_04,6,Low,Y,1633,0.0023625954695459563
T10_Dox_0.6nM,Apc,Apc_05,6,Low,Y,2569,0.003716783687240393
T10_Dox_0.6nM,Apc,Apc_06,6,Low,Y,3732,0.005399391483371408
T10_Dox_0.6nM,Apc,Apc_07,6,Low,Y,1057,0.0015292488740416875
T10_Dox_0.6nM,Apc,Apc_08,6,Low,Y,2767,0.004003246579444985
T10_Dox_0.6nM,Apc,Apc_09,6,Low,Y,1746,0.0025260818676223146
T10_Dox_0.6nM,Apc,Apc_10,6,Low,Y,3970,0.005743725666930463
T10_Dox_0.6nM,Araf,Araf_01,6,Low,Y,3576,0.005173693447089001
T10_Dox_0.6nM,Araf,Araf_02,6,Low,Y,1251,0.0018099246371108336
T10_Dox_0.6nM,Araf,Araf_03,6,Low,Y,1234,0.0017853293382851868
T10_Dox_0.6nM,Araf,Araf_04,6,Low,Y,2310,0.0033420670757202445
T10_Dox_0.6nM,Araf,Araf_05,6,Low,Y,3891,0.005629429866505399
T10_Dox_0.6nM,Araf,Araf_06,6,Low,Y,2067,0.0029904989807418812
T10_Dox_0.6nM,Araf,Araf_07,6,Low,Y,1533,0.0022179172411597985
T10_Dox_0.6nM,Araf,Araf_08,6,Low,Y,1790,0.002589740288112224
T10_Dox_0.6nM,Araf,Araf_09,6,Low,Y,2992,0.004328772593313841
T10_Dox_0.6nM,Araf,Araf_10,6,Low,Y,3001,0.004341793633868595
T10_Dox_0.6nM,Arid1a,Arid1a_01,6,Low,Y,3688,0.005335733062881498
T10_Dox_0.6nM,Arid1a,Arid1a_02,6,Low,Y,4673,0.006760813612485152
T10_Dox_0.6nM,Arid1a,Arid1a_03,6,Low,Y,3364,0.0048669756029103475
T10_Dox_0.6nM,Arid1a,Arid1a_04,6,Low,Y,3660,0.005295223158933374
T10_Dox_0.6nM,Arid1a,Arid1a_05,6,Low,Y,513,0.0007421993116209893
T10_Dox_0.6nM,Arid1a,Arid1a_06,6,Low,Y,1196,0.001730351611498447
T10_Dox_0.6nM,Arid1a,Arid1a_07,6,Low,Y,3710,0.005367562273126453
T10_Dox_0.6nM,Arid1a,Arid1a_08,6,Low,Y,2411,0.0034881920863902636
T10_Dox_0.6nM,Arid1a,Arid1a_09,6,Low,Y,1574,0.002277235314798123
T10_Dox_0.6nM,Arid1a,Arid1a_10,6,Low,Y,1922,0.0027807155495819524
T10_Dox_0.6nM,Arid1b,Arid1b_01,6,Low,Y,2275,0.003291429695785089
T10_Dox_0.6nM,Arid1b,Arid1b_02,6,Low,Y,3301,0.004775828319027068
T10_Dox_0.6nM,Arid1b,Arid1b_03,6,Low,Y,1759,0.0025448900373125152
T10_Dox_0.6nM,Arid1b,Arid1b_04,6,Low,Y,2610,0.0037761017608787177
T10_Dox_0.6nM,Arid1b,Arid1b_05,6,Low,Y,2243,0.0032451326627015186
T10_Dox_0.6nM,Arid1b,Arid1b_06,6,Low,Y,4766,0.006895364364884279
T10_Dox_0.6nM,Arid1b,Arid1b_07,6,Low,Y,2092,0.0030266685378384207
T10_Dox_0.6nM,Arid1b,Arid1b_08,6,Low,Y,2755,0.003985885192038646
T10_Dox_0.6nM,Arid1b,Arid1b_09,6,Low,Y,4407,0.006375969524977973
T10_Dox_0.6nM,Arid1b,Arid1b_10,6,Low,Y,1920,0.0027778219850142292
T10_Dox_0.6nM,Ascl1,Ascl1_01,6,Low,Y,5003,0.007238251766159473
T10_Dox_0.6nM,Ascl1,Ascl1_02,6,Low,Y,2278,0.003295770042636674
T10_Dox_0.6nM,Ascl1,Ascl1_03,6,Low,Y,1859,0.002689568265698673
T10_Dox_0.6nM,Ascl1,Ascl1_04,6,Low,Y,2230,0.003226324493011318
T10_Dox_0.6nM,Ascl1,Ascl1_05,6,Low,Y,1792,0.002592633852679947
T10_Dox_0.6nM,Ascl1,Ascl1_06,6,Low,Y,1579,0.002284469226217431
T10_Dox_0.6nM,Ascl1,Ascl1_07,6,Low,Y,2192,0.0031713467662245784
T10_Dox_0.6nM,Ascl1,Ascl1_08,6,Low,Y,479,0.0006930087139696957
T10_Dox_0.6nM,Ascl1,Ascl1_09,6,Low,Y,2243,0.0032451326627015186
T10_Dox_0.6nM,Ascl1,Ascl1_10,6,Low,Y,2919,0.0042231574865919455
T10_Dox_0.6nM,Atm,Atm_01,6,Low,Y,1786,0.002583953158976778
T10_Dox_0.6nM,Atm,Atm_02,6,Low,Y,2514,0.0036372106616280064
T10_Dox_0.6nM,Atm,Atm_03,6,Low,Y,1585,0.0022931499199206006
T10_Dox_0.6nM,Atm,Atm_04,6,Low,Y,4418,0.00639188413010045
T10_Dox_0.6nM,Atm,Atm_05,6,Low,Y,3534,0.005112928591166815
T10_Dox_0.6nM,Atm,Atm_06,6,Low,Y,1332,0.0019271140021036215
T10_Dox_0.6nM,Atm,Atm_07,6,Low,Y,2197,0.003178580677643886
T10_Dox_0.6nM,Atm,Atm_08,6,Low,Y,893,0.001291976579488389
T10_Dox_0.6nM,Atm,Atm_09,6,Low,Y,3959,0.005727811061807986
T10_Dox_0.6nM,Atm,Atm_10,6,Low,Y,4969,0.00718906116850818
T10_Dox_0.6nM,Atr,Atr_01,6,Low,Y,1154,0.0016695867555762607
T10_Dox_0.6nM,Atr,Atr_02,6,Low,Y,1320,0.0019097526146972825
T10_Dox_0.6nM,Atr,Atr_03,6,Low,Y,5050,0.007306250533500968
T10_Dox_0.6nM,Atr,Atr_04,6,Low,Y,5015,0.007255613153565812
T10_Dox_0.6nM,Atr,Atr_05,6,Low,Y,633,0.0009158131856843787
T10_Dox_0.6nM,Atr,Atr_06,6,Low,Y,1453,0.0021021746584508724
T10_Dox_0.6nM,Atr,Atr_07,6,Low,Y,6552,0.009479317523861056
T10_Dox_0.6nM,Atr,Atr_08,6,Low,Y,2786,0.004030735442838355
T10_Dox_0.6nM,Atr,Atr_09,6,Low,Y,2147,0.0031062415634508073
T10_Dox_0.6nM,Atr,Atr_10,6,Low,Y,3836,0.005549856840893012
T10_Dox_0.6nM,Aurka,Aurka_01,6,Low,Y,1835,0.002654845490885995
T10_Dox_0.6nM,Aurka,Aurka_02,6,Low,Y,1536,0.002222257588011383
T10_Dox_0.6nM,Aurka,Aurka_03,6,Low,Y,4545,0.00657562548015087
T10_Dox_0.6nM,Aurka,Aurka_04,6,Low,Y,3118,0.0045110671610804
T10_Dox_0.6nM,Aurka,Aurka_05,6,Low,Y,1261,0.0018243924599494494
T10_Dox_0.6nM,Aurka,Aurka_06,6,Low,Y,2536,0.003669039871872961
T10_Dox_0.6nM,Aurka,Aurka_07,6,Low,Y,700,0.0010127475987031043
T10_Dox_0.6nM,Aurka,Aurka_08,6,Low,Y,1711,0.0024754444876871596
T10_Dox_0.6nM,Aurka,Aurka_09,6,Low,Y,4595,0.006647964594343949
T10_Dox_0.6nM,Aurka,Aurka_10,6,Low,Y,907,0.001312231531462451
T10_Dox_0.6nM,Aurkb,Aurkb_01,6,Low,Y,3078,0.004453195869725936
T10_Dox_0.6nM,Aurkb,Aurkb_02,6,Low,Y,3778,0.00546594346842904
T10_Dox_0.6nM,Aurkb,Aurkb_03,6,Low,Y,1250,0.001808477854826972
T10_Dox_0.6nM,Aurkb,Aurkb_04,6,Low,Y,1291,0.0018677959284652968
